DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
BLR,BOG,8515000,1634250,6536852917,DIC
BLR,BOG,800000,144000,566292960,DIC
BLR,BOG,5320000,929999,3657304767,DIC
BLR,BOG,102400,322560,1289759385,DIC
BLR,BOG,8000,18400,73572584,DIC
BLR,BOG,1125000,146250,584986837,DIC
BLR,BOG,887500,253738,1014573930,DIC
BLR,BOG,240000,33480,133870114,DIC
BLR,BOG,120000,16320,64574323,DIC
BLR,BOG,1080000,146880,581168908,DIC
BLR,BOG,14000,3808,14742481,DIC
BLR,BOG,31400,47445,183680945,DIC
BLR,BOG,65500,34548,133750854,DIC
BOL,BOG,70600,1752764,6920858764,DIC
BOL,BOG,12100,555477,2193323153,DIC
BOL,BOG,8000,58470,230871133,DIC
BOL,BOG,300,4110,16625854,DIC
BOL,BOG,1400,9478,38340595,DIC
BOL,BOG,63900,234746,949599214,DIC
