DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BOL,BOG,1170,2610,10436308
BOL,BOG,18714,788500,3180674955
BOL,BOG,2000,14980,59573063
BOL,BOG,4700,24094,96252344
BOL,BOG,6300,43295,173399072
BOL,BOG,1500,10995,43725355
BOL,BOG,46700,177189,708849124
BOL,BOG,8200,28585,114305668
BOL,BOG,16800,68104,271575422
BOL,BOG,143900,341674,1366321887
BOL,BOG,24700,64526,258176689
BOL,BOG,14500,49210,196646794
BOL,BOG,12200,31714,126648850
BOL,BOG,700,3276,13120576
BOL,BOG,240700,541758,2164502504
BOL,BOG,63300,256503,1022380971
BOL,BOG,91600,188395,752819787
BOL,BOG,1400,15708,62468202
BOL,BOG,500,4880,19544692
BOL,BOG,9300,59280,236067597
BOL,BOG,500,1585,6348020
BOL,BOG,17800,159077,635635386
BOL,BOG,600,2892,11582633
BOL,BOG,41600,186899,747417395
BOL,BOG,5000,11050,44255913
BOL,BOG,4200,20602,82043059
BOL,BOG,700,3633,14447859
BOL,BOG,2000,7990,32000429
BOL,BOG,35400,140867,562208688
BOL,BOG,5504,504232,2023907513
BOL,BOG,404800,1000,4005060
BOL,BOG,102598,5193666,21368248087
BOL,BOG,10882,1103226,4538991699
BOL,BOG,500,2695,10880227
BOL,BOG,5400,36029,145881984
BOL,BOG,4200,23658,96419940
BOL,BOG,19700,85191,346607645
BOL,BOG,22200,61274,249381820
BOL,BOG,2700,10609,43415528
BOL,BOG,30700,69238,281958690
BOL,BOG,500,2150,8798509
BOL,BOG,1200,4008,16402058
BOL,BOG,20800,52421,212209363
BOL,BOG,11700,30309,122728769
BOL,BOG,1700,7055,28756972
BOL,BOG,234000,518265,2117183832
BOL,BOG,57900,255034,1034287598
BOL,BOG,28400,52206,213128675
BOL,BOG,500,4515,18227912
BOL,BOG,3100,24612,100720425
BOL,BOG,900,8847,36204843
BOL,BOG,14200,132512,538644805
BOL,BOG,15700,46209,187209575
BOL,BOG,45300,163384,664779254
BOL,BOG,2200,7810,31961097
BOL,BOG,12700,47951,195705168
BOL,BOG,1700,6868,28106122
BOL,BOG,20800,104152,423205603
BOL,BOG,5792,522755,2114194291
BOL,BOG,4371,414168,1658767690
BOL,BOG,12870,2186720,8667217790
BOL,BOG,1000,1133970,4578052344
BOL,BOG,24000,762000,3076338780
BOL,BOG,1900,23656,95503766
BOL,BOG,11000,86651,349826550
BOL,BOG,8000,32862,132670137
BOL,BOG,15500,138741,560123777
BOL,BOG,47700,156708,632659970
BOL,BOG,10200,60312,243491003
BOL,BOG,52500,491334,1983608711
BOL,BOG,4000,160480,637922442
BOL,BOG,900,35235,140062295
BOL,BOG,15000,222000,885755580
BOL,BOG,7000,134000,534645260
BOL,BOG,21000,210,835940
BOL,BOG,1000,1000,3980670
BOL,BOG,1400,980,3901056
BOL,BOG,20000,3440000,13966916000
BOL,BOG,830,25,100929
BOL,BOG,132120,836760,3444597848
BOL,BOG,5600,63532,256766221
BOL,BOG,97400,442034,1757124933
BOL,BOG,4400,86020,341937241
BOL,BOG,4800,68592,272659373
BOL,BOG,1600,30353,122540828
BOL,BOG,1000,21620,87284047
BOL,BOG,52200,344484,1393268982
BOL,BOG,1700,46619,188209760
BOL,BOG,4100,59650,236815615
BOL,BOG,3500,64750,261408052
BOL,BOG,3200,43200,177836688
BOL,BOG,900,15750,64836292
